epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6964.29,0.29416,0.29096,0.80689,0.99604,0.99427,0.99486,0.98349,0.20154,0.2114,0.8515,0.000371313,0.000371313,0.000371313
43,7125,0.29875,0.2963,0.80711,0.99603,0.99385,0.99493,0.98084,0.21966,0.21676,0.85389,0.000365125,0.000365125,0.000365125
44,7289.51,0.29465,0.2858,0.80445,0.99699,0.99444,0.99496,0.98525,0.21447,0.20317,0.85363,0.000358938,0.000358938,0.000358938
45,7449.99,0.293,0.2914,0.81276,0.99712,0.99572,0.99499,0.9867,0.18349,0.18918,0.85081,0.00035275,0.00035275,0.00035275
46,7616.9,0.28594,0.29201,0.80549,0.99635,0.99682,0.99497,0.98373,0.19571,0.29841,0.85035,0.000346563,0.000346563,0.000346563
47,7779.88,0.28297,0.28551,0.80392,0.99651,0.99438,0.99494,0.98525,0.18622,0.18566,0.85026,0.000340375,0.000340375,0.000340375
48,7942.6,0.28307,0.27613,0.80417,0.99607,0.9937,0.99489,0.98536,0.1879,0.19387,0.84974,0.000334188,0.000334188,0.000334188
49,8106.65,0.27911,0.27228,0.80558,0.99565,0.99243,0.99494,0.98578,0.18444,0.18296,0.84789,0.000328,0.000328,0.000328
50,8269.52,0.27582,0.27794,0.80445,0.99805,0.99418,0.99498,0.98352,0.19318,0.18405,0.85125,0.000321812,0.000321812,0.000321812
51,8433.99,0.27408,0.28075,0.80228,0.99665,0.99379,0.99487,0.98666,0.18795,0.17507,0.85056,0.000315625,0.000315625,0.000315625
52,8599.06,0.26832,0.26946,0.80211,0.99727,0.9941,0.99451,0.98519,0.19225,0.19335,0.84749,0.000309437,0.000309437,0.000309437
53,8767.39,0.27153,0.2749,0.80044,0.99681,0.99702,0.99484,0.9886,0.18159,0.17478,0.84864,0.00030325,0.00030325,0.00030325
54,8929.01,0.27582,0.2744,0.8045,0.99398,0.99539,0.99495,0.98421,0.19826,0.1983,0.85114,0.000297063,0.000297063,0.000297063
55,9095.18,0.27112,0.25884,0.80316,0.99704,0.9956,0.99496,0.98622,0.19508,0.19204,0.84715,0.000290875,0.000290875,0.000290875
56,9256.3,0.26286,0.26141,0.80407,0.99341,0.99803,0.99494,0.98854,0.18108,0.19435,0.84814,0.000284688,0.000284688,0.000284688
57,9423.6,0.2596,0.2599,0.79684,0.99598,0.99599,0.99498,0.9886,0.16255,0.17669,0.84799,0.0002785,0.0002785,0.0002785
58,9598.52,0.26546,0.25486,0.80582,0.99674,0.99301,0.99497,0.98737,0.18318,0.18026,0.85046,0.000272313,0.000272313,0.000272313
59,9762.51,0.2556,0.25192,0.79766,0.99459,0.99545,0.99466,0.98545,0.19551,0.19919,0.85026,0.000266125,0.000266125,0.000266125
60,9925.9,0.26353,0.26239,0.8013,0.99771,0.99593,0.99497,0.98603,0.21587,0.18794,0.84983,0.000259938,0.000259938,0.000259938
61,10084.8,0.26119,0.25002,0.80136,0.99759,0.99333,0.99494,0.98858,0.16923,0.16599,0.84731,0.00025375,0.00025375,0.00025375
62,10249.9,0.24973,0.24536,0.79643,0.99618,0.99604,0.99493,0.98847,0.17335,0.16868,0.8476,0.000247563,0.000247563,0.000247563
63,10409.2,0.24834,0.24544,0.79695,0.99729,0.9947,0.99496,0.98662,0.18425,0.18779,0.8483,0.000241375,0.000241375,0.000241375
64,10575.4,0.25732,0.24745,0.80184,0.99606,0.99714,0.99498,0.991,0.15773,0.1753,0.84579,0.000235188,0.000235188,0.000235188
65,10734.8,0.25145,0.24445,0.80112,0.99438,0.99525,0.99492,0.98981,0.16521,0.17991,0.84685,0.000229,0.000229,0.000229
66,10898.9,0.23802,0.23471,0.7956,0.99722,0.99533,0.99498,0.98778,0.17407,0.1672,0.84619,0.000222813,0.000222813,0.000222813
67,11059,0.24308,0.25345,0.79931,0.9963,0.9973,0.99495,0.98984,0.15964,0.16242,0.84507,0.000216625,0.000216625,0.000216625
68,11221.6,0.2396,0.24677,0.7931,0.99671,0.99626,0.99499,0.99002,0.15599,0.15711,0.84502,0.000210437,0.000210437,0.000210437
